Dataset Variation,Distance Function,Target Company,Applicants Considered,TP,FP,TN,FN,Accuracy
age_no_gender,Statistic_list_frequency,facebook,1,0,10,43,1,0.7962962962962963
age_no_gender,Statistic_list_frequency,facebook,3,1,25,28,0,0.5370370370370371
age_no_gender,Statistic_list_frequency,facebook,5,1,28,25,0,0.48148148148148145
age_no_gender,Statistic_list_frequency,facebook,11,1,41,12,0,0.24074074074074073
age_no_gender,Statistic_list_frequency,amazon,1,0,1,50,3,0.9259259259259259
age_no_gender,Statistic_list_frequency,amazon,3,1,17,34,2,0.6481481481481481
age_no_gender,Statistic_list_frequency,amazon,5,3,29,22,0,0.46296296296296297
age_no_gender,Statistic_list_frequency,amazon,11,3,43,8,0,0.2037037037037037
age_no_gender,Statistic_list_frequency,salesforce,1,0,0,53,1,0.9814814814814815
age_no_gender,Statistic_list_frequency,salesforce,3,0,2,51,1,0.9444444444444444
age_no_gender,Statistic_list_frequency,salesforce,5,0,2,51,1,0.9444444444444444
age_no_gender,Statistic_list_frequency,salesforce,11,0,7,46,1,0.8518518518518519
age_no_gender,Statistic_list_frequency,apple,1,1,3,45,5,0.8518518518518519
age_no_gender,Statistic_list_frequency,apple,3,2,6,42,4,0.8148148148148148
age_no_gender,Statistic_list_frequency,apple,5,2,8,40,4,0.7777777777777778
age_no_gender,Statistic_list_frequency,apple,11,3,20,28,3,0.5740740740740741
age_no_gender,Statistic_list_frequency,oracle,1,1,4,46,3,0.8703703703703703
age_no_gender,Statistic_list_frequency,oracle,3,2,12,38,2,0.7407407407407407
age_no_gender,Statistic_list_frequency,oracle,5,2,17,33,2,0.6481481481481481
age_no_gender,Statistic_list_frequency,oracle,11,2,30,20,2,0.4074074074074074
age_no_gender,Statistic_list_frequency,twitter,1,1,7,43,3,0.8148148148148148
age_no_gender,Statistic_list_frequency,twitter,3,1,12,38,3,0.7222222222222222
age_no_gender,Statistic_list_frequency,twitter,5,1,13,37,3,0.7037037037037037
age_no_gender,Statistic_list_frequency,twitter,11,1,24,26,3,0.5
age_no_gender,Statistic_list_frequency,uber-com,1,0,1,50,3,0.9259259259259259
age_no_gender,Statistic_list_frequency,uber-com,3,1,5,46,2,0.8703703703703703
age_no_gender,Statistic_list_frequency,uber-com,5,2,8,43,1,0.8333333333333334
age_no_gender,Statistic_list_frequency,uber-com,11,2,19,32,1,0.6296296296296297
age_no_gender,Statistic_list_frequency,google,1,1,6,40,7,0.7592592592592593
age_no_gender,Statistic_list_frequency,google,3,4,13,33,4,0.6851851851851852
age_no_gender,Statistic_list_frequency,google,5,6,23,23,2,0.5370370370370371
age_no_gender,Statistic_list_frequency,google,11,6,41,5,2,0.2037037037037037
age_no_gender,Statistic_list_frequency,ibm,1,0,6,40,8,0.7407407407407407
age_no_gender,Statistic_list_frequency,ibm,3,0,10,36,8,0.6666666666666666
age_no_gender,Statistic_list_frequency,ibm,5,1,22,24,7,0.46296296296296297
age_no_gender,Statistic_list_frequency,ibm,11,5,38,8,3,0.24074074074074073
age_no_gender,Statistic_list_frequency,adobe,1,0,8,40,6,0.7407407407407407
age_no_gender,Statistic_list_frequency,adobe,3,2,23,25,4,0.5
age_no_gender,Statistic_list_frequency,adobe,5,3,27,21,3,0.4444444444444444
age_no_gender,Statistic_list_frequency,adobe,11,6,44,4,0,0.18518518518518517
age_no_gender,Statistic_list_frequency,microsoft,1,0,4,40,10,0.7407407407407407
age_no_gender,Statistic_list_frequency,microsoft,3,1,9,35,9,0.6666666666666666
age_no_gender,Statistic_list_frequency,microsoft,5,4,17,27,6,0.5740740740740741
age_no_gender,Statistic_list_frequency,microsoft,11,7,35,9,3,0.2962962962962963
