Algorithm,Distance Function,Dataset Variation,Target Company,TP,FP,TN,FN,Precision,Recall,F1 Score
multiclustering,Statistic_list_frequency,with_gender_and_age,tesla-motors,1,3,177,2,0.25,0.3333333333333333,0.28571428571428575
multiclustering,Statistic_list_frequency,with_gender_and_age,apple,10,45,120,8,0.18181818181818182,0.5555555555555556,0.273972602739726
multiclustering,Statistic_list_frequency,with_gender_and_age,salesforce,0,4,171,8,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,with_gender_and_age,ibm,9,9,151,14,0.5,0.391304347826087,0.4390243902439025
multiclustering,Statistic_list_frequency,with_gender_and_age,amazon,0,6,160,17,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,with_gender_and_age,microsoft,2,6,157,18,0.25,0.1,0.14285714285714288
multiclustering,Statistic_list_frequency,with_gender_and_age,adobe,2,1,164,16,0.6666666666666666,0.1111111111111111,0.1904761904761905
multiclustering,Statistic_list_frequency,with_gender_and_age,nvidia,0,0,180,3,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,with_gender_and_age,twitter,2,19,153,9,0.09523809523809523,0.18181818181818182,0.125
multiclustering,Statistic_list_frequency,with_gender_and_age,google,3,16,144,20,0.15789473684210525,0.13043478260869565,0.14285714285714288
multiclustering,Statistic_list_frequency,with_gender_and_age,oracle,0,0,166,17,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,with_gender_and_age,facebook,0,3,165,15,0.0,0.0,0.0
multiclustering,Statistic_list_frequency,with_gender_and_age,uber-com,3,39,137,4,0.07142857142857142,0.42857142857142855,0.12244897959183672
