Algorithm,Distance Function,Dataset Variation,Company,Precision,Recall
multiclustering,Statistic_intersection,with_gender_and_age,salesforce,0.0,0.0
multiclustering,Statistic_intersection,with_gender_and_age,nvidia,0.0,0.0
multiclustering,Statistic_intersection,with_gender_and_age,uber-com,0.25,0.14285714285714285
multiclustering,Statistic_intersection,with_gender_and_age,tesla-motors,0.5,0.6666666666666666
multiclustering,Statistic_intersection,with_gender_and_age,adobe,0.125,0.05555555555555555
multiclustering,Statistic_intersection,with_gender_and_age,oracle,1.0,0.17647058823529413
multiclustering,Statistic_intersection,with_gender_and_age,apple,0.7142857142857143,0.2777777777777778
multiclustering,Statistic_intersection,with_gender_and_age,amazon,0.0,0.0
multiclustering,Statistic_intersection,with_gender_and_age,facebook,0.25,0.06666666666666667
multiclustering,Statistic_intersection,with_gender_and_age,ibm,1.0,0.043478260869565216
multiclustering,Statistic_intersection,with_gender_and_age,twitter,0.0945945945945946,0.6363636363636364
multiclustering,Statistic_intersection,with_gender_and_age,google,0.045454545454545456,0.043478260869565216
multiclustering,Statistic_intersection,with_gender_and_age,microsoft,0.16666666666666666,0.1
